iter	Passed	Remaining
0	152	75992
1	168	42077
2	182	30290
3	197	24441
4	234	23261
5	280	23131
6	303	21360
7	319	19664
8	333	18176
9	346	16981
10	403	17945
11	444	18064
12	459	17221
13	474	16479
14	487	15760
15	505	15282
16	558	15871
17	596	15985
18	618	15668
19	634	15235
20	648	14786
21	659	14334
22	671	13924
23	713	14151
24	765	14536
25	780	14237
26	796	13949
27	810	13662
28	826	13430
29	877	13740
30	916	13860
31	935	13687
32	950	13447
33	963	13200
34	998	13261
35	1056	13612
36	1077	13478
37	1092	13287
38	1107	13090
39	1123	12918
40	1175	13161
41	1211	13213
42	1228	13056
43	1241	12870
44	1255	12693
45	1273	12570
46	1317	12697
47	1357	12784
48	1373	12639
49	1387	12487
50	1398	12313
51	1411	12158
52	1449	12224
53	1500	12394
54	1519	12295
55	1534	12169
56	1547	12024
57	1562	11909
58	1618	12095
59	1655	12140
60	1672	12033
61	1688	11929
62	1701	11804
63	1723	11740
64	1775	11882
65	1808	11889
66	1825	11796
67	1837	11676
68	1850	11559
69	1875	11518
70	1928	11652
71	1960	11652
72	1981	11590
73	1997	11496
74	2010	11394
75	2021	11280
76	2033	11170
77	2070	11200
78	2130	11355
79	2156	11319
80	2171	11232
81	2187	11148
82	2199	11051
83	2212	10958
84	2256	11018
85	2304	11091
86	2320	11015
87	2335	10936
88	2348	10843
89	2361	10755
90	2404	10808
91	2454	10883
92	2477	10842
93	2494	10773
94	2511	10706
95	2524	10624
96	2538	10545
97	2576	10568
98	2626	10637
99	2645	10581
100	2661	10512
101	2674	10435
102	2701	10410
103	2754	10490
104	2788	10491
105	2809	10442
106	2821	10361
107	2832	10280
108	2865	10277
109	2912	10324
110	2943	10314
111	2962	10262
112	2977	10197
113	2992	10131
114	3006	10064
115	3022	10006
116	3070	10050
117	3113	10077
118	3134	10035
119	3150	9976
120	3168	9925
121	3182	9859
122	3196	9796
123	3242	9831
124	3285	9856
125	3301	9799
126	3318	9745
127	3330	9680
128	3344	9617
129	3391	9652
130	3434	9675
131	3450	9619
132	3466	9566
133	3479	9503
134	3493	9445
135	3540	9476
136	3582	9492
137	3600	9444
138	3613	9384
139	3625	9321
140	3636	9258
141	3675	9265
142	3729	9311
143	3751	9274
144	3764	9217
145	3778	9160
146	3794	9112
147	3840	9134
148	3881	9144
149	3900	9100
150	3913	9046
151	3927	8991
152	3943	8943
153	3987	8959
154	4031	8973
155	4053	8938
156	4068	8888
157	4083	8839
158	4096	8785
159	4108	8730
160	4152	8743
161	4211	8786
162	4231	8747
163	4243	8694
164	4255	8640
165	4287	8626
166	4331	8637
167	4364	8625
168	4381	8581
169	4393	8529
170	4407	8479
171	4443	8472
172	4487	8483
173	4510	8451
174	4814	8940
175	4954	9121
176	4978	9084
177	5023	9088
178	5067	9087
179	5081	9034
180	5093	8976
181	5121	8948
182	5173	8961
183	5202	8934
184	5222	8891
185	5238	8843
186	5251	8790
187	5264	8736
188	5284	8695
189	5332	8700
190	5347	8651
191	5362	8602
192	5378	8555
193	5394	8508
194	5412	8465
195	5431	8424
196	5448	8380
197	5464	8335
198	5481	8290
199	5505	8258
200	5530	8227
201	5554	8194
202	5588	8176
203	5633	8173
204	5665	8153
205	5688	8118
206	5707	8078
207	5719	8029
208	5764	8026
209	5809	8022
210	5831	7986
211	5848	7944
212	5863	7901
213	5876	7853
214	5890	7808
